                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1425,                  1.344,                 1.0047,                0.68723,                0.59089,                0.60969,                0.37702,                 1.6059,                  2.444,                 1.1067,             0.00051015,             0.00051015,             0.00051015
                     36,                 1.1117,                 1.2838,                0.98054,                0.71046,                0.63235,                0.60461,                0.35058,                  1.566,                 2.3619,                 1.1145,             0.00050254,             0.00050254,             0.00050254
                     37,                 1.1054,                 1.3411,                0.98814,                0.62024,                 0.6449,                0.60901,                0.36841,                 1.5315,                 2.3123,                 1.1112,             0.00049493,             0.00049493,             0.00049493
                     38,                 1.0975,                  1.273,                  1.008,                0.44505,                 0.6449,                0.62384,                0.38892,                 1.5406,                 2.2219,                 1.1297,             0.00048732,             0.00048732,             0.00048732
                     39,                 1.0642,                 1.1976,                 1.0001,                0.60491,                0.60261,                0.64249,                0.38827,                 1.5509,                 2.2177,                 1.1347,              0.0004797,              0.0004797,              0.0004797
                     40,                 1.0859,                 1.2575,                0.99077,                0.83831,                 0.5655,                0.66719,                0.41803,                 1.4827,                 2.2165,                 1.0919,             0.00047209,             0.00047209,             0.00047209
                     41,                 1.0471,                 1.2204,                0.98138,                0.85281,                0.52583,                0.66241,                0.44366,                   1.47,                 2.1806,                 1.0669,             0.00046448,             0.00046448,             0.00046448
                     42,                 1.0494,                  1.184,                 0.9726,                0.84273,                0.50729,                0.63935,                0.39405,                 1.5511,                 2.2174,                 1.0971,             0.00045686,             0.00045686,             0.00045686
                     43,                 1.0207,                 1.1361,                0.97226,                0.78182,                0.50592,                0.64263,                0.37207,                 1.6175,                 2.2637,                 1.1167,             0.00044925,             0.00044925,             0.00044925
                     44,                0.98182,                 1.1226,                0.97767,                0.70272,                0.58744,                0.63801,                0.39313,                 1.6134,                  2.342,                 1.1131,             0.00044164,             0.00044164,             0.00044164
                     45,                 1.0465,                 1.1488,                0.96742,                 0.7398,                0.60408,                0.63339,                0.39214,                 1.5713,                 2.2916,                 1.1012,             0.00043402,             0.00043402,             0.00043402
                     46,                0.98308,                 1.0899,                0.97431,                0.74542,                0.61299,                0.64002,                0.40651,                 1.5109,                 2.2689,                 1.0847,             0.00042641,             0.00042641,             0.00042641
                     47,                0.99148,                 1.1073,                0.97312,                0.78117,                0.58149,                0.66259,                0.42433,                 1.5346,                 2.3271,                  1.098,              0.0004188,              0.0004188,              0.0004188
                     48,                0.98541,                 1.1083,                0.98043,                0.74927,                0.65143,                0.68403,                  0.435,                 1.5167,                 2.2499,                 1.0962,             0.00041118,             0.00041118,             0.00041118
                     49,                 0.9751,                 1.1245,                 0.9692,                0.75512,                0.64702,                0.68689,                 0.4368,                 1.5079,                 2.2233,                  1.095,             0.00040357,             0.00040357,             0.00040357
                     50,                 1.0039,                  1.061,                0.98499,                0.71965,                0.66571,                0.69116,                0.43237,                 1.5161,                 2.0645,                 1.0952,             0.00039596,             0.00039596,             0.00039596
                     51,                0.95477,                 1.0379,                0.95006,                0.86814,                0.53103,                0.68495,                0.44505,                 1.4804,                 2.0409,                   1.08,             0.00038835,             0.00038835,             0.00038835
                     52,                0.96224,                 1.1045,                0.97477,                0.81356,                0.56316,                0.67862,                0.45226,                 1.4185,                 2.0968,                 1.0364,             0.00038073,             0.00038073,             0.00038073
                     53,                0.96112,                 1.0352,                0.96019,                0.75104,                0.57905,                0.66196,                0.43452,                  1.443,                 2.1869,                  1.029,             0.00037312,             0.00037312,             0.00037312
                     54,                0.95415,                 1.0825,                0.96261,                0.81436,                0.57337,                0.68943,                0.44266,                  1.484,                 2.1152,                  1.048,             0.00036551,             0.00036551,             0.00036551
                     55,                0.94422,                 1.0394,                0.94465,                0.78746,                0.58923,                0.72124,                0.48234,                 1.4624,                 2.0768,                 1.0631,             0.00035789,             0.00035789,             0.00035789
                     56,                0.91406,                 1.0395,                 0.9628,                0.80456,                0.58147,                0.71234,                0.46124,                 1.5139,                 2.0329,                 1.0732,             0.00035028,             0.00035028,             0.00035028
                     57,                0.95874,                  1.028,                0.93652,                0.78551,                0.58943,                0.71148,                0.42616,                 1.5619,                 2.0513,                 1.0879,             0.00034267,             0.00034267,             0.00034267
                     58,                0.95272,                 1.0819,                0.95992,                0.52665,                0.61338,                0.68755,                0.41571,                 1.6513,                 1.9812,                 1.1246,             0.00033505,             0.00033505,             0.00033505
                     59,                0.97423,                0.99806,                0.97285,                0.73069,                0.60626,                0.68863,                0.42904,                 1.6393,                 1.9842,                 1.1166,             0.00032744,             0.00032744,             0.00032744
                     60,                0.95621,                 1.0898,                 0.9511,                0.91625,                0.58642,                0.70455,                0.45451,                   1.52,                  1.985,                 1.0614,             0.00031983,             0.00031983,             0.00031983
                     61,                0.92533,                 0.9795,                0.93199,                0.82896,                0.59874,                0.69322,                  0.449,                 1.4948,                 1.9748,                 1.0493,             0.00031221,             0.00031221,             0.00031221
